ID,spotNumber,slotType_ID,level,isAvailable,lot_ID,occupancy_ID,price,currency_code,createdAt,createdBy,modifiedAt,modifiedBy
3814dfc2-c7c6-4a80-8da9-b6ecb9fcda26,A1-01,5355eef6-da59-4050-a238-cb3d6eb730f7,1,false,79a28041-0a1e-4570-a26b-1c336e93cb0a,38e5fbf8-2495-4447-bbc0-40a398ec2335,5.00,USD,,,,
1032cbdc-202b-44e8-a8cd-004439e0b9b1,A1-02,5355eef6-da59-4050-a238-cb3d6eb730f7,1,true,79a28041-0a1e-4570-a26b-1c336e93cb0a,,5.00,USD,,,,
0a7d0be2-1e0b-468c-b929-4157a49b4465,A1-03,429ac5e1-b4c4-42a2-ab6f-61ddda0e1d85,1,true,79a28041-0a1e-4570-a26b-1c336e93cb0a,,3.00,USD,,,,
784ab8a6-0210-46cb-b822-94b32f4e6697,A1-04,b511eb1b-0425-4c47-a750-400ac4b1b24a,2,false,79a28041-0a1e-4570-a26b-1c336e93cb0a,b5f1840f-225a-479a-833c-a1f463e87328,8.00,USD,,,,
b85f0e33-4926-42ff-9939-f28c8a753597,A1-05,5355eef6-da59-4050-a238-cb3d6eb730f7,2,true,79a28041-0a1e-4570-a26b-1c336e93cb0a,,5.00,USD,,,,
3ad673ef-242f-4acf-9783-ad6d21fe8b4d,A1-06,5355eef6-da59-4050-a238-cb3d6eb730f7,2,true,79a28041-0a1e-4570-a26b-1c336e93cb0a,,5.00,USD,,,,
7220bd7c-0012-4892-a3de-3465576eda38,B1-01,429ac5e1-b4c4-42a2-ab6f-61ddda0e1d85,1,false,54482fd5-c868-44ed-a434-bafbacab58fb,e9fb7156-4ae6-43e8-8cad-3ab10028e7cf,3.00,USD,,,,
bdf653ea-2dad-4d26-a72d-39988c9678d7,B1-02,5355eef6-da59-4050-a238-cb3d6eb730f7,1,true,54482fd5-c868-44ed-a434-bafbacab58fb,,5.00,USD,,,,
6ea24364-acbc-4728-be1d-4d176e386645,B1-03,5355eef6-da59-4050-a238-cb3d6eb730f7,1,true,54482fd5-c868-44ed-a434-bafbacab58fb,,5.00,USD,,,,
c03b36f7-3532-4471-bb0b-4c6d58db1021,B1-04,b511eb1b-0425-4c47-a750-400ac4b1b24a,1,true,54482fd5-c868-44ed-a434-bafbacab58fb,,8.00,USD,,,,
6a86e31b-a947-4c8d-8d83-442c41371b5f,C1-01,5355eef6-da59-4050-a238-cb3d6eb730f7,1,true,59996cab-6c58-41fa-b7d6-b81f6d9f022c,,4.50,USD,,,,
8da4aaa6-7e94-4cfd-9a2c-33a3bacbd08b,C1-02,5355eef6-da59-4050-a238-cb3d6eb730f7,1,false,59996cab-6c58-41fa-b7d6-b81f6d9f022c,db81d547-3aba-4a54-9814-8a9a50fde9f6,4.50,USD,,,,
0a7305bd-efe2-49a5-9479-dcac287a6063,C2-01,b511eb1b-0425-4c47-a750-400ac4b1b24a,2,false,59996cab-6c58-41fa-b7d6-b81f6d9f022c,654ddb77-3a88-4899-950d-3b996d352897,7.50,USD,,,,
2243584c-2fd9-4f37-9cac-df69d969198d,C2-02,429ac5e1-b4c4-42a2-ab6f-61ddda0e1d85,2,true,59996cab-6c58-41fa-b7d6-b81f6d9f022c,,3.00,USD,,,,
